PS C:\Users\Rendszergazda> get-WindowsFeature 

Display Name                                            Name                       Install State
        [ ] Mennyiségi aktiválási eszközök              RSAT-VA-Tools                  Available
        [ ] Távelérés-kezelési eszközök                 RSAT-RemoteAccess              Available
            [ ] Távelérési grafikus felhasználói fel... RSAT-RemoteAccess-Mgmt         Available
            [ ] Távelérési modul a Windows PowerShel... RSAT-RemoteAccess-Po...        Available
    [ ] Szolgáltatás-felügyeleti eszközök               RSAT-Feature-Tools             Available
        [ ] SMTP-kiszolgáló eszközei                    RSAT-SMTP                      Available
        [ ] A Feladatátvételi fürtszolgáltatás eszközei RSAT-Clustering                Available
            [ ] Failover Cluster Module for Windows ... RSAT-Clustering-Powe...        Available
            [ ] Feladatátvevőfürt-kezelő eszközei       RSAT-Clustering-Mgmt           Available
            [ ] Feladatátvételi szolgáltatás automat... RSAT-Clustering-Auto...        Available
            [ ] Feladatátvételi szolgáltatás parancs... RSAT-Clustering-CmdI...        Available
        [ ] A Hálózati terheléselosztás eszközei        RSAT-NLB                       Available
        [ ] BitLocker meghajtótitkosítás felügyeleti... RSAT-Feature-Tools-B...        Available
            [ ] BitLocker helyreállításijelszó-megje... RSAT-Feature-Tools-B...        Available
            [ ] BitLocker meghajtótitkosítási eszközök  RSAT-Feature-Tools-B...        Available
        [ ] BITS kiszolgálói bővítményeszközök          RSAT-Bits-Server               Available
        [ ] IP-címkezelési (IPAM) ügyfél                IPAM-Client-Feature            Available
        [ ] SNMP-eszközök                               RSAT-SNMP                      Available
        [ ] WINS-kiszolgáló eszközei                    RSAT-WINS                      Available
[ ] Távoli különbözeti tömörítés                        RDC                            Available
[ ] Távsegítség                                         Remote-Assistance              Available
[ ] Telnet-kiszolgáló                                   Telnet-Server                  Available
[ ] Telnet-ügyfél                                       Telnet-Client                  Available
[ ] TFTP-ügyfél                                         TFTP-Client                    Available
[ ] Többutas I/O                                        Multipath-IO                   Available
[ ] Üzenetsor-kezelés                                   MSMQ                           Available
    [ ] Üzenetsor-kezelési szolgáltatások               MSMQ-Services                  Available
        [ ] Üzenetsor-kezelési kiszolgáló               MSMQ-Server                    Available
        [ ] Címtárszolgáltatások integrációja           MSMQ-Directory                 Available
        [ ] Csoportos küldés támogatása                 MSMQ-Multicasting              Available
        [ ] HTTP-támogatás                              MSMQ-HTTP-Support              Available
        [ ] Útválasztási szolgáltatás                   MSMQ-Routing                   Available
        [ ] Üzenetsor-kezelési eseményindítók           MSMQ-Triggers                  Available
    [ ] Üzenetsor-kezelési DCOM-proxy                   MSMQ-DCOM                      Available
